,traj_n,length,reward,time,sub_type,time_agent,avg_time,reward_agent,avg_reward,usage,type,Length,Reward,Viol,S1_Usage,t1,t2,t3,t4,t6,t7,perc_usage
0,0,10.255,-38.161041815312274,0,null,0,0.0,0.0,0.0,0,nominal,10.255,-38.161041815312274,6.13,0.0,200,0.8,0.0,0,1,0.5,
0,0,32.555,-133.8840447123208,0,null,0,0.0,0.0,0.0,0,const,32.555,-133.8840447123208,0.18,0.0,200,0.8,0.0,0,1,0.5,
0,0,34.0,-1257.941125496954,9,s1,9,0.2647058823529412,-1257.941125496954,-36.99826839696924,34,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
0,0,34.0,-1257.941125496954,9,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
1,1,35.0,-131.65685424949237,19,s1,19,0.5428571428571428,-131.65685424949237,-3.7616244071283536,35,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
1,1,35.0,-131.65685424949237,19,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
2,2,48.0,-1832.9705627484773,39,s1,39,0.8125,-1832.9705627484773,-38.18688672392661,48,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
2,2,48.0,-1832.9705627484773,39,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
3,3,18.0,-165.31370849898474,10,s1,10,0.5555555555555556,-165.31370849898474,-9.184094916610263,18,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
3,3,18.0,-165.31370849898474,10,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
4,4,16.0,-208.97056274847716,9,s1,9,0.5625,-208.97056274847716,-13.060660171779823,16,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
4,4,16.0,-208.97056274847716,9,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
5,5,99.0,-440.97056274847716,83,s1,83,0.8383838383838383,-440.97056274847716,-4.454248108570477,99,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
5,5,99.0,-440.97056274847716,83,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
6,6,19.0,-67.65685424949238,9,s1,9,0.47368421052631576,-67.65685424949238,-3.560887065762757,19,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
6,6,19.0,-67.65685424949238,9,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
7,7,20.0,-171.65685424949237,18,s1,18,0.9,-171.65685424949237,-8.58284271247462,20,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
7,7,20.0,-171.65685424949237,18,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
8,8,105.0,-469.94112549695427,101,s1,101,0.9619047619047619,-469.94112549695427,-4.47562976663766,105,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
8,8,105.0,-469.94112549695427,101,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
9,9,196.0,-6892.568542494924,206,s1,206,1.0510204081632653,-6892.568542494924,-35.166166033137365,196,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
9,9,196.0,-6892.568542494924,206,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
10,10,116.0,-508.97056274847716,155,s1,155,1.3362068965517242,-508.97056274847716,-4.387677265073079,116,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
10,10,116.0,-508.97056274847716,155,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
11,11,109.0,-437.5979797464467,340,s1,340,3.1192660550458715,-437.5979797464467,-4.0146603646463,109,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
11,11,109.0,-437.5979797464467,340,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
12,12,65.0,-1457.3137084989849,48,s1,48,0.7384615384615385,-1457.3137084989849,-22.420210899984383,65,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
12,12,65.0,-1457.3137084989849,48,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
13,13,94.0,-419.31370849898474,108,s1,108,1.148936170212766,-419.31370849898474,-4.460784132967922,94,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
13,13,94.0,-419.31370849898474,108,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
14,14,27.0,-252.97056274847716,23,s1,23,0.8518518518518519,-252.97056274847716,-9.36928010179545,27,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
14,14,27.0,-252.97056274847716,23,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
15,15,201.0,-813.9411254969543,208,s1,208,1.0348258706467661,-813.9411254969543,-4.049458335805743,201,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
15,15,201.0,-813.9411254969543,208,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
16,16,78.0,-355.31370849898474,64,s1,64,0.8205128205128205,-355.31370849898474,-4.555303955115189,78,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
16,16,78.0,-355.31370849898474,64,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
17,17,23.0,-83.65685424949238,11,s1,11,0.4782608695652174,-83.65685424949238,-3.6372545325866255,23,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
17,17,23.0,-83.65685424949238,11,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
18,18,25.0,-191.65685424949237,16,s1,16,0.64,-191.65685424949237,-7.666274169979695,25,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
18,18,25.0,-191.65685424949237,16,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
19,19,171.0,-730.6274169979695,159,s1,159,0.9298245614035088,-730.6274169979695,-4.2726749532045,171,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
19,19,171.0,-730.6274169979695,159,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
